スラッグ,和名,英名・学名,カテゴリ,英字カテゴリ,リード文,キャッチコピー,原産地,大きさ,寿命,食べ物,特徴,豆知識,メイン写真,サブ写真,POPカード
meerkat,ミーアキャット,Meerkat (Suricata suricatta),小動物・うさぎ,SMALL ANIMAL,アフリカ南部の乾燥地帯に生息する小型の哺乳類。群れで協力して生活し、見張りや子育てをみんなで行うとても賢い動物です。,群れで暮らす社交的でかわいい動物、ミーアキャット。好奇心が強く、立ち上がって見張りをする姿がとても愛らしいです。,アフリカ南部（ナミビア、ボツワナ、南アフリカなど）,体長 約25〜35cm（尾を含むと約55cm）／体重 約700g〜1kg,約10〜15年,昆虫・小動物・植物の根や実など、雑食性です。,ミーアキャットはとても社交的で、群れの中で役割分担をして生活しています。立ち上がって周囲を見張る姿は、外敵から仲間を守るための大切な役割です。,ミーアキャットには「ヘルパー制度」があり、子育てをみんなで協力して行います。仲間との絆がとても強く、家族愛にあふれた動物としても知られています。,images/a/meerkat.webp,images/a/meerkat-2.webp,images/a/meerkat-pop.webp
ragdoll,ラグドール,Ragdoll Cat (Felis catus),犬・猫・サル,DOG / CAT,やさしく穏やかな性格と、ふんわりとした美しい被毛が魅力の猫種。人とのふれあいを好み、抱っこされるとリラックスして身をゆだねます。,ぬいぐるみのようにやさしく、抱っこが大好きなラグドール。美しいブルーの瞳とポイントカラーの被毛が魅力です。,アメリカ（カリフォルニア州で誕生した猫種）,体長 約60〜70cm（しっぽ含む）／体重 オス 約5〜9kg・メス 約4〜7kg,約12〜17年,高タンパクで栄養バランスの良いキャットフードを主食に、新鮮な水をいつでも飲めるようにしましょう。おやつは与えすぎに注意です。,穏やかで人懐っこく、抱っこが大好きな猫種です。美しいブルーの瞳と、ポイントカラーのふんわりとした被毛が特徴。おだやかで静かな環境を好みます。,ラグドールの名前は「ぬいぐるみ（Ragdoll）」が由来です。抱き上げると力を抜いてリラックスする姿から名付けられました。大型の猫種で、成長には3〜4年かかることもあります。,images/a/ragdoll.webp,images/a/ragdoll-2.webp,images/a/ragdoll-pop.webp
netherland,ネザーランドドワーフ,Netherland Dwarf (Oryctolagus cuniculus),小動物・うさぎ,SMALL ANIMAL,オランダで品種改良された世界最小級のうさぎ。丸くて愛らしい見た目と、人懐っこく穏やかな性格が魅力です。,オランダ原産の世界最小級のうさぎ。小さな体とまんまるのフォルム、人懐っこく穏やかな性格で、とても人気のあるペットです。,オランダ,体長 約20〜25cm／体重 約0.8〜1.2kg,約7〜10年,牧草（チモシーなど）を主食に、ペレットや野菜・果物をバランスよく与えます。常に新鮮な水を用意しましょう。,非常に小柄で、丸い顔と短い耳が特徴です。好奇心が旺盛で活発ですが、臆病な一面もあります。清潔好きでトイレも覚えやすく、お手入れしやすいペットです。,ネザーランドドワーフは、世界で最も小さいうさぎの品種としてギネスにも認定されました。小さな体でぴょんぴょん跳ねる姿は、まるでぬいぐるみのように愛らしいです。,images/a/netherland.webp,images/a/netherland-2.webp;images/a/netherland-3.webp,images/a/netherland-pop.webp
chinchilla,チンチラ,Chinchilla (Chinchilla lanigera),小動物・うさぎ,SMALL ANIMAL,アンデスの高地に生息する草食の小動物。ふわふわの毛並みと愛らしい仕草で、世界中で人気のあるペットです。,南米アンデスの高地に生息する小動物。ふわふわの被毛と大きな耳が特徴で、とてもおとなしく人に懐きやすい性格です。,南米アンデス山脈（チリ・ペルー・ボリビア・アルゼンチン）,体長 約25〜35cm（しっぽ含む）／体重 約400〜700g,約10〜15年,牧草（チモシーなど）を主食に、ペレットや乾燥野菜・少量の果物を与えます。常に新鮮な水を用意しましょう。,夜行性で、昼間は休んで夜に活発に動きます。ジャンプ力が高く、高い場所が大好きです。非常にきれい好きで、砂浴びをして皮脂や汚れを落とし、毛並みを清潔に保ちます。,チンチラの毛は1本の毛穴から約50〜80本もの毛が生えています。そのため、なめらかでふわふわのさわり心地を持ち、世界で最も毛が密な動物のひとつといわれています。,images/a/chinchilla.webp,images/a/chinchilla-2.webp,images/a/chinchilla-pop.webp
prairiedog,プレーリードッグ,Prairie Dog (Cynomys spp.),小動物・うさぎ,SMALL ANIMAL,北米の草原地帯に生息するリスの仲間。群れで暮らす社会性が高く、愛らしい仕草で人気の小動物です。,北米の草原に生息する社会性の高い小動物。好奇心旺盛で、人に慣れると立ち上がって見つめたり、鳴き声で仲間とコミュニケーションを取ったりします。,北アメリカ（アメリカ合衆国、カナダ、メキシコ）の草原・プレーリー地帯,体長 約30〜40cm（しっぽ含む）／体重 約700g〜1.5kg,約8〜10年,牧草（チモシーなど）を主食に、ペレットや野菜・果物をバランスよく与えます。常に新鮮な水を用意しましょう。,非常に社会性が高く、縄張り意識や役割分担を持つ群れで生活します。立ち上がって周囲を見張る姿や、「キュッ、キュッ」と鳴き声で仲間と知らせ合う姿がとても愛らしいです。人に慣れると、手からおやつを食べたり、甘えてくることもあります。,プレーリードッグは穴を掘って広い巣穴（コロニー）を作ります。巣穴は温度調節にも役立ち、天敵から身を守る大切な役割もあります。,images/a/prairiedog.webp,images/a/prairiedog-2.webp,images/a/prairiedog-pop.webp
ferret,フェレット,Ferret (Mustela putorius furo),小動物・うさぎ,SMALL ANIMAL,ヨーロッパケナガイタチを家畜化した小型の肉食哺乳類。元気いっぱいで賢く、人とのふれあいを楽しめるペットとして人気があります。,好奇心旺盛でとても遊び好きなフェレット。コミュニケーション能力が高く、人によく懐きます。,ヨーロッパ（家畜化種）,全長 約40〜50cm（しっぽ含む）／体重 約700g〜2kg,約6〜10年,専用フードを主食に、肉類や内臓などの動物性たんぱく質をバランスよく与えます。新鮮な水はいつでも飲めるようにします。,非常に好奇心が強く、遊ぶことが大好きです。穴を掘ったり、物を隠したりする習性があります。人に懐きやすく、甘えん坊な一面も魅力です。賢く覚えが早いので、しつけやトレーニングも可能です。,フェレットは1日に14〜18時間ほど眠ります。夢を見ていることもあると言われ、寝ている時に小さく動いたり鳴いたりすることがあります。暑さに弱いので、涼しく快適な環境づくりが大切です。,images/a/ferret.webp,images/a/ferret-2.webp,images/a/ferret-pop.webp
marmoset,コモンマーモセット,Common Marmoset (Callithrix jacchus),犬・猫・サル,DOG / CAT,ブラジルなどの熱帯雨林に生息する小型のサル。人に懐きやすく、鳴き声やしぐさがとても愛らしい人気のペットです。,南米の熱帯雨林に生息する小型のサル。人懐っこく、好奇心旺盛で、高い知能を持っています。,南米（ブラジル、ペルー、ボリビアなど）の熱帯雨林,全長 約20〜30cm（しっぽ含む）／体重 約250〜400g,約12〜15年,果物・昆虫・木の樹液・花の蜜・野菜・専用フードなどをバランスよく与えます。カルシウム補給も大切です。,非常に好奇心が強く、活発で社交的な性格です。家族を群れとして強く認識し、飼い主とのスキンシップを楽しみます。高い知能を持ち、学習能力にも優れています。鳴き声で気持ちを伝える、とてもコミュニケーション豊かなサルです。,マーモセットはペアや家族で飼うことでストレスが少なく、より幸せに暮らせます。毎日のふれあいと遊びの時間をしっかりとることで、信頼関係が深まります。,images/a/marmoset.webp,images/a/marmoset-2.webp,images/a/marmoset-pop.webp
bully,アメリカンブリー・ポケット,American Bully Pocket,犬・猫・サル,DOG / CAT,アメリカで改良された新しいタイプのブリー犬種。筋肉質で力強く、コンパクトな体格と安定した性格で人気があります。,アメリカンブリーの中で体高が低くコンパクトなサイズ区分のポケットサイズ。筋肉質で力強い体格と、家族に愛情深く人懐っこい性格が魅力です。,アメリカ合衆国,体高 オス 約36〜43cm・メス 約33〜40cm（体重は体格により個体差があります）,約8〜13年,良質なドッグフードを主食に、肉類を中心にバランスの良い食事を与えます。肥満になりやすいので、食事量の管理が大切です。,筋肉質で力強く、体高が低くコンパクトな体格が特徴。非常に人懐っこく、家族や子どもに愛情深い性格です。見た目は迫力がありますが、飼い主に従順で落ち着いた一面も持っています。適切な社会化とトレーニングを行うことで、バランスの良い素晴らしいパートナーになります。,アメリカンブリー・ポケットは、コンパクトな体格と運動能力を兼ね備えています。しっかりとした運動と適切な食事管理で、健康的で長く一緒に暮らせるパートナーになります。,images/a/bully.webp,images/a/bully-2.webp,images/a/bully-pop.webp
exotic,エキゾチックブリー,Exotic Bully,犬・猫・サル,DOG / CAT,アメリカで改良された新しいタイプのブリー犬種。がっしりとしたボディと安定した性格で、世界中で人気が高まっています。,筋肉質でがっしりとした体つきと、短いマズルが特徴のエキゾチックブリー。見た目はワイルドですが、性格はとても人懐っこく甘えん坊です。,アメリカ合衆国（American Bully の発展・改良種）,体高 約33〜45cm／体重 約25〜45kg,約10〜13年,良質なドッグフードを主食に、肉類を中心にバランスの良い食事を与えます。肥満になりやすいので、食事量の管理が大切です。,筋肉質でがっしりとした体つきと短いマズルが特徴。性格はとても人懐っこく、飼い主や家族に忠実で甘えん坊です。子どもや他の犬とも仲良くでき、社交性が高い犬種です。知能が高く、しつけがしやすいのも魅力のひとつです。,エキゾチックブリーは、アメリカンブリーの中でも特にコンパクトで、より家庭犬として飼いやすいように改良されたタイプです。見た目のインパクトとは裏腹に、優しく穏やかな性格です。,images/a/exotic.webp,images/a/exotic-2.webp,images/a/exotic-pop.webp
macaw,ルリコンゴウインコ,Blue-and-yellow Macaw (Ara ararauna),鳥類・インコ,BIRD,中南米の熱帯雨林に生息する、とても美しい大型インコ。明るく遊び好きで、人とのコミュニケーションを楽しみます。,美しい羽色と賢さで世界中の人々を魅了する、とても人気の高い大型インコ。社交的で人懐っこく、言葉を覚えるのも得意です。,中南米（ブラジル、パラグアイ、ボリビアなど）の熱帯雨林やサバンナの周辺,"全長 約80〜90cm／体重 約900〜1,400g",約50〜80年,ペレットを主食に、野菜・果物・種子・ナッツなどをバランスよく与えます。,非常に知能が高く、人の言葉や音を真似ることができます。好奇心が強く、遊びや学習を通して刺激を与えることが大切です。甘えん坊でスキンシップが大好きです。,ルリコンゴウインコは「インコの王様」とも言われるほどの美しさと存在感を持ちます。長い絆を築ける、とても魅力的なパートナーです。,images/a/macaw.webp,images/a/macaw-2.webp,images/a/macaw-pop.webp
